site_date_key,ARMCIN,CTEBOL,MINLON,PALSP,PANOBE,PENSET,SESRET,CALSAP,FUNGRA,CLIVIT,PROPAN,POELAT,LITIRR,MINRAP,PACGRA,ALPHET,CRAVIR,EVOLYR,PETARM,CITSPI,MUGCEP,FUNJEN,MENBER,PENAZT,CYNNEB,FUNXEN,PANSIM,SCIOCE,TRIMAC,UNKPOL,NEGBRE,GOBBOS,UCASP,SYNSCO,ARCPRO,EUCMEL,CTESHU
9eedaafa,1,2,11,21,5,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0a0a7d8,1,0,3,0,2,8,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0e38e4c,5,3,11,2,1,15,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8c75edf,5,0,3,0,1,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a92f11bc,0,1,2,62,0,21,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aa0d5a97,0,0,0,0,0,88,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0
b985696c,6,5,7,70,1,52,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c52a6a0a,2,0,2,2,3,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2584dd2,2,1,1,9,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0
d46f5314,2,4,6,2,3,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d5d14392,0,2,0,18,0,52,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d5f490e0,0,1,8,3,0,3,0,2,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6f84526,0,0,0,0,0,42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
d99d953e,0,1,3,17,0,43,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deef00a6,2,3,5,28,5,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
