Station_id,month,year,avg_temperature (C DegC),std_deviation_water_temperature (C DegC),min_temperature (C DegC),max_temperature (C DegC)
CRMS0978-H01,8,2016,30.16791667,1.91724107,25.45,35.66
CRMS0319-H01,7,2021,30.16428766,1.51085191,26.81,33.98
CRMS0318-H01,7,2021,30.15810886,1.920821122,25.23,35.8
CRMS0164-H01,7,2010,30.15791669,1.804562563,26.41,35
CRMS0335-H01,9,2023,30.15659721,1.563811816,25.92,34.72
CRMS0336-H01,7,2007,30.15369624,1.682010776,25.95,34.72
CRMS0335-H01,8,2016,30.14251344,1.900576018,25.57,35.41
CRMS0318-H01,8,2016,30.14243607,2.160120326,24.81,38.31
CRMS0175-H01,8,2016,30.14044357,2.046674969,25.19,35.45
CRMS0164-H01,7,2012,30.13814262,1.940063901,25.66,35.53
CRMS0310-H01,6,2016,30.13424998,1.642814438,26.8,36.02
CRMS0178-H01,7,2010,30.13364241,1.501024951,26.97,34.34
CRMS0335-H01,6,2018,30.13162498,1.717015955,26.5,35.22
CRMS0292-H01,6,2012,30.13083332,2.789582538,25.37,38.06
CRMS0310-H01,8,2016,30.1297043,1.935537767,25.05,35.95
CRMS0175-H01,7,2014,30.12901881,2.059744135,25.8,36.24
CRMS0175-H01,6,2008,30.12444442,1.599946001,26.56,34.83
CRMS0336-H01,8,2016,30.11670699,1.89277341,25.24,34.29
CRMS0175-H01,7,2022,30.11489246,0.855481415,28.17,32.27
CRMS0337-H01,7,2021,30.11403221,1.463423903,27.01,34.39
CRMS0178-H01,7,2018,30.10766129,1.069237118,27.56,33.19
CRMS0310-H01,8,2022,30.1040457,1.49028083,27.32,35.73
CRMS0335-H01,6,2016,30.09763888,1.537710732,26.65,34.4
CRMS0337-H01,8,2018,30.09591398,1.177556647,27.73,33.84
CRMS0335-H01,7,2021,30.09194891,1.682420236,26.38,34.9
CRMS0319-H01,6,2018,30.0887778,1.453717954,26.77,33.87
CRMS0292-H01,9,2018,30.07922222,2.081841455,26.02,36.98
CRMS0164-H01,7,2018,30.07036291,1.736224943,26.69,35.2
CRMS0318-H01,7,2007,30.06969086,2.617525904,24.37,39.02
CRMS0164-H01,7,2009,30.06590051,1.865618997,26.17,36.85
CRMS0337-H01,8,2017,30.06282258,1.590093837,26.63,33.58
CRMS0318-H01,7,2014,30.05946142,2.57015923,25.51,37.58
CRMS0164-H01,8,2009,30.05633068,1.674246476,26.87,35.18
CRMS0337-H01,9,2023,30.05440278,1.26676362,26.84,33.49
CRMS0164-H01,6,2011,30.04958334,1.689354175,27.28,35.87
CRMS0164-H01,6,2013,30.0495,1.828559872,26.32,35.31
CRMS0164-H01,8,2018,30.04901879,1.384883305,27.08,34.63
CRMS0335-H01,8,2013,30.03837365,1.863612312,25.87,34.83
